Comment,Description,Designator,Footprint,Manufacturer 1,Manufacturer Part Number 1,Quantity,Supplier 1,Supplier Part Number 1
4.7uF,"4.7æF ñ10% 50V X7R Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 1206","C1, C19, C23, C24",1206,"Samsung Electro-Mechanics America, Inc.",CL31B475KBHNNNE,4,Digi-Key,1276-2789-1-ND
0.1uF,"0.10æF ñ10% 50V X7R Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 0603 (1608 Metric) 0.063 L x 0.031"" W (1.60mm x 0.80mm)""","C2, C5, C6, C11, C13, C18, C22",603,Murata Electronics North America,GRM188R71H104KA93D,7,Digi-Key,490-1519-1-ND
1.0uF,"1æF ñ10% 10V X5R Ceramic Capacitor -55øC ~ 85øC Surface Mount, MLCC 0603 (1608 Metric) 0.063 L x 0.031"" W (1.60mm x 0.80mm)""","C8, C17",603,Murata Electronics North America,GRM188R61A105KA61D,2,Digi-Key,490-1543-1-ND
8.2pF,"8.2pF ñ0.5pF 50V C0G, NP0 Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 0201 (0603 Metric) 0.024 L x 0.012"" W (0.60mm x 0.30mm)""",C9,603,Murata Electronics North America,GRM0335C1H8R2DA01D,1,Digi-Key,490-6133-2-ND
1000pF,"1000pF ñ10% 50V X7R Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 0603 (1608 Metric) 0.063 L x 0.031"" W (1.60mm x 0.80mm)""","C10, C12",603,Murata Electronics North America,GRM188R71H102KA01D,2,Digi-Key,490-1494-1-ND
15nF,CAP CER 0.015UF 50V X7R 0603,C14,603,"Samsung Electro-Mechanics America, Inc.",CL10B153KB8SFNC,1,Digi-Key,1276-1967-1-ND
0.22uF,"0.22æF ñ10% 25V X7R Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 0603 (1608 Metric) 0.063 L x 0.031"" W (1.60mm x 0.80mm)""",C15,603,Murata Electronics North America,GRM188R71E224KA88D,1,Digi-Key,490-3290-1-ND
4700pF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4700pF 50volts X7R 10%,C20,603,Murata Electronics North America,GRM188R71H472KA01D,1,Digi-Key,490-1506-1-ND
0.47uF,"0.47æF ñ10% 25V X7R Ceramic Capacitor -55øC ~ 125øC Surface Mount, MLCC 0603 (1608 Metric) 0.063 L x 0.031"" W (1.60mm x 0.80mm)""",C21,603,Murata Electronics North America,GRM188R71E474KA12D,1,Digi-Key,490-3291-1-ND
12 pF,CAP CER 12PF 50V NP0 0603,"C25, C26",603,Murata Electronics North America,GRM1885C1H120JA01D,2,Digi-Key,490-1405-1-ND
10uF,"10æF -20%, +80% 16V Y5V (F) Ceramic Capacitor -30øC ~ 85øC Surface Mount, MLCC 120","C27, C28, C29, C30, C31, C32",1206,Yageo,CC1206ZKY5V7BB106,6,Digi-Key,311-1376-1-ND
Red,LED RED DIFFUSED 0805 SMD,D1,0805 Polarized,OSRAM Opto Semiconductors Inc.,LS R976-NR-1,1,Digi-Key,475-1278-1-ND
B360A-13-F,DIODE SCHOTTKY 60V 3A SMA,"D2, D3",SMA with A and K,Diodes Incorporated,B360A-13-F,2,Digi-Key,B360A-FDICT-ND
80 Ohms,Ferrite Bead 80ohms 100MHz 5A Monolithic 0805 SMD,"L1, L2",805,Laird Technologies,HI0805R800R-10,2,Digi-Key,240-2395-1-ND
8.2 uH,FIXED IND 8.2UH 5.05A 28.6 MOHM,L3,Inductor - 1045,Wurth Electronics Inc,7447797820,1,Digi-Key,732-2213-1-ND
10k NTC,THERMISTOR 10K OHM NTC 0603 SMD,NTC1,603,Murata Electronics North America,NCP18XH103F03RB,1,Digi-Key,490-4800-1-ND
