Change Component Designator: Old Designator=* New Designator=*?
Change Component Designator: Old Designator=Bat1 New Designator=Bat?
Change Component Designator: Old Designator=Bat2 New Designator=Bat?
Change Component Designator: Old Designator=Bat3 New Designator=Bat?
Change Component Designator: Old Designator=BRD2 New Designator=BRD?
Change Component Designator: Old Designator=C2 New Designator=C?
Change Component Designator: Old Designator=C4 New Designator=C?
Change Component Designator: Old Designator=C5 New Designator=C?
Change Component Designator: Old Designator=C5 New Designator=C?
Change Component Designator: Old Designator=C5 New Designator=C?
Change Component Designator: Old Designator=C5 New Designator=C?
Change Component Designator: Old Designator=C5 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=C8 New Designator=C?
Change Component Designator: Old Designator=JP1 New Designator=JP?
Change Component Designator: Old Designator=L1 New Designator=L?
Change Component Designator: Old Designator=PTC1 New Designator=PTC?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=R2 New Designator=R?
Change Component Designator: Old Designator=U1 New Designator=U?
Change Component Designator: Old Designator=X1 New Designator=X?
Change Component Designator: Old Designator=Z1 New Designator=Z?
